Experience_Years,Education_Years,Hours_Per_Week,Certifications,Salary_LPA
16.0,12.0,56.0,2.0,99.63
2.0,11.0,49.0,2.0,74.55
7.0,14.0,49.0,1.0,88.45
4.0,15.0,41.0,0.0,67.7
2.0,19.0,59.0,1.0,87.56
5.0,19.0,38.0,0.0,213.98
13.0,11.0,49.0,2.0,94.77
24.0,10.0,56.0,2.0,112.59
0.0,15.0,51.0,1.0,75.34
21.0,10.0,44.0,0.0,103.47
3.0,16.0,43.0,1.0,72.14
11.0,16.0,54.0,4.0,109.17
15.0,15.0,40.0,2.0,97.04
15.0,16.0,51.0,0.0,102.68
4.0,11.0,50.0,0.0,71.67
21.0,,35.0,1.0,103.7
14.0,19.0,45.0,2.0,107.23
12.0,15.0,48.0,6.0,109.71
,19.0,47.0,1.0,120.54
10.0,17.0,45.0,0.0,91.53
0.0,13.0,59.0,2.0,86.28
21.0,15.0,53.0,2.0,123.97
13.0,18.0,38.0,1.0,100.65
3.0,17.0,54.0,1.0,93.59
5.0,10.0,57.0,0.0,84.53
0.0,15.0,53.0,2.0,83.08
13.0,10.0,32.0,3.0,87.03
17.0,19.0,54.0,,114.26
10.0,19.0,35.0,3.0,81.61
7.0,14.0,38.0,0.0,73.26
23.0,16.0,54.0,1.0,118.17
7.0,18.0,45.0,,96.73
2.0,11.0,43.0,1.0,72.0
19.0,18.0,36.0,0.0,97.97
22.0,15.0,52.0,3.0,122.08
12.0,18.0,37.0,2.0,87.36
20.0,11.0,58.0,1.0,123.47
24.0,12.0,52.0,3.0,130.72
2.0,11.0,44.0,0.0,62.25
7.0,13.0,46.0,2.0,87.27
5.0,17.0,35.0,2.0,79.6
7.0,19.0,37.0,0.0,77.3
18.0,19.0,53.0,2.0,122.31
,13.0,54.0,,95.75
3.0,19.0,48.0,4.0,83.45
0.0,14.0,42.0,1.0,72.84
18.0,18.0,37.0,3.0,100.36
9.0,18.0,44.0,2.0,94.79
20.0,15.0,48.0,1.0,114.66
19.0,12.0,,0.0,96.46
5.0,13.0,31.0,1.0,68.49
22.0,12.0,37.0,1.0,100.04
3.0,10.0,32.0,,49.64
15.0,17.0,37.0,,107.68
8.0,13.0,48.0,2.0,93.71
4.0,14.0,31.0,2.0,71.35
8.0,13.0,32.0,0.0,68.33
1.0,16.0,36.0,2.0,72.47
20.0,17.0,40.0,1.0,106.22
2.0,10.0,46.0,3.0,68.85
14.0,10.0,46.0,1.0,84.05
11.0,16.0,49.0,1.0,90.24
13.0,19.0,36.0,1.0,95.03
8.0,12.0,44.0,0.0,77.09
21.0,12.0,51.0,0.0,114.66
11.0,11.0,57.0,,97.29
0.0,13.0,48.0,2.0,66.29
,13.0,42.0,2.0,93.07
9.0,11.0,38.0,2.0,80.88
24.0,11.0,41.0,3.0,
17.0,19.0,37.0,0.0,88.93
1.0,12.0,53.0,1.0,80.3
11.0,19.0,36.0,3.0,96.8
4.0,12.0,31.0,1.0,61.37
1.0,11.0,30.0,0.0,47.04
9.0,16.0,48.0,1.0,92.99
14.0,12.0,47.0,2.0,
2.0,15.0,54.0,1.0,
9.0,18.0,41.0,0.0,88.98
11.0,12.0,40.0,2.0,87.28
22.0,11.0,58.0,1.0,120.44
1.0,10.0,39.0,1.0,60.47
,18.0,33.0,1.0,65.94
17.0,11.0,37.0,1.0,87.43
5.0,16.0,40.0,3.0,93.42
15.0,11.0,49.0,1.0,93.98
6.0,10.0,45.0,1.0,75.34
18.0,15.0,45.0,1.0,290.48
14.0,19.0,39.0,1.0,99.74
22.0,,34.0,1.0,95.14
24.0,12.0,47.0,2.0,115.35
17.0,12.0,55.0,2.0,99.94
22.0,16.0,56.0,2.0,133.05
16.0,17.0,54.0,3.0,115.37
16.0,19.0,37.0,,95.71
5.0,17.0,31.0,,66.01
17.0,15.0,38.0,0.0,91.79
7.0,17.0,51.0,1.0,87.0
20.0,19.0,56.0,2.0,117.35
2.0,12.0,45.0,0.0,67.74
22.0,18.0,50.0,2.0,127.45
4.0,18.0,50.0,2.0,84.89
14.0,12.0,40.0,1.0,83.01
1.0,13.0,49.0,0.0,71.77
7.0,14.0,,4.0,78.83
19.0,19.0,58.0,0.0,125.59
0.0,19.0,57.0,1.0,87.38
24.0,11.0,45.0,2.0,109.16
17.0,17.0,,1.0,95.56
22.0,,42.0,3.0,113.35
10.0,15.0,51.0,5.0,104.13
16.0,19.0,32.0,1.0,92.76
9.0,,56.0,2.0,108.83
0.0,17.0,44.0,3.0,75.16
23.0,18.0,36.0,3.0,112.69
19.0,19.0,36.0,6.0,109.19
11.0,10.0,35.0,2.0,77.78
,,41.0,1.0,
18.0,10.0,30.0,1.0,
12.0,18.0,,3.0,104.96
18.0,19.0,56.0,,118.37
0.0,14.0,34.0,4.0,65.62
12.0,16.0,,0.0,102.37
13.0,14.0,41.0,5.0,103.66
21.0,19.0,44.0,1.0,108.6
16.0,11.0,37.0,3.0,87.01
14.0,18.0,47.0,0.0,99.12
18.0,,46.0,1.0,99.26
15.0,11.0,46.0,0.0,84.62
10.0,18.0,50.0,5.0,109.24
19.0,19.0,52.0,2.0,117.81
10.0,17.0,58.0,3.0,104.62
15.0,12.0,36.0,3.0,90.46
21.0,18.0,51.0,0.0,111.34
12.0,18.0,33.0,2.0,88.81
11.0,16.0,50.0,3.0,101.18
,16.0,32.0,1.0,61.32
24.0,15.0,53.0,2.0,129.87
0.0,19.0,,1.0,64.39
7.0,12.0,54.0,,88.7
16.0,12.0,51.0,1.0,97.71
14.0,14.0,45.0,4.0,103.2
5.0,17.0,50.0,1.0,
7.0,18.0,42.0,0.0,81.48
14.0,15.0,49.0,4.0,106.38
19.0,16.0,54.0,0.0,112.63
17.0,12.0,59.0,1.0,238.08
16.0,13.0,33.0,0.0,85.1
2.0,18.0,40.0,2.0,80.75
22.0,12.0,46.0,0.0,107.59
17.0,13.0,39.0,1.0,85.53
24.0,13.0,56.0,1.0,121.35
1.0,16.0,32.0,2.0,64.69
14.0,,33.0,1.0,81.84
2.0,11.0,,1.0,69.78
18.0,,30.0,1.0,81.02
15.0,17.0,57.0,3.0,113.89
9.0,17.0,39.0,3.0,86.97
23.0,19.0,48.0,2.0,124.65
16.0,16.0,,0.0,86.51
4.0,16.0,38.0,5.0,76.6
13.0,13.0,48.0,3.0,92.04
12.0,18.0,33.0,1.0,80.07
4.0,13.0,31.0,0.0,57.44
16.0,12.0,58.0,2.0,107.82
5.0,12.0,52.0,1.0,79.04
20.0,17.0,57.0,2.0,124.36
7.0,,37.0,1.0,67.34
13.0,16.0,55.0,3.0,119.48
1.0,14.0,41.0,3.0,68.95
0.0,19.0,42.0,,82.09
15.0,11.0,53.0,3.0,103.86
13.0,10.0,51.0,1.0,
11.0,13.0,34.0,1.0,82.52
7.0,14.0,42.0,2.0,85.16
11.0,17.0,,0.0,71.35
1.0,14.0,55.0,1.0,82.75
5.0,19.0,41.0,0.0,65.75
22.0,13.0,39.0,1.0,110.3
24.0,13.0,33.0,1.0,107.98
20.0,17.0,40.0,2.0,105.75
0.0,10.0,54.0,2.0,78.95
6.0,10.0,51.0,2.0,82.72
19.0,16.0,43.0,3.0,117.32
18.0,14.0,42.0,3.0,108.3
16.0,13.0,35.0,4.0,92.36
1.0,14.0,59.0,2.0,86.18
12.0,18.0,54.0,2.0,
10.0,13.0,47.0,3.0,80.49
10.0,18.0,57.0,0.0,
16.0,13.0,41.0,1.0,88.61
8.0,12.0,47.0,1.0,80.79
2.0,11.0,52.0,2.0,87.75
7.0,16.0,36.0,1.0,78.84
17.0,,59.0,3.0,129.87
15.0,17.0,56.0,3.0,110.52
,16.0,42.0,1.0,87.53
6.0,12.0,31.0,2.0,
20.0,14.0,37.0,,101.86
22.0,11.0,35.0,2.0,91.45
8.0,15.0,53.0,,92.78
17.0,18.0,37.0,1.0,97.74
7.0,18.0,59.0,2.0,99.89
10.0,15.0,56.0,2.0,99.31
9.0,18.0,59.0,1.0,106.82
5.0,19.0,37.0,1.0,82.93
8.0,12.0,37.0,3.0,76.39
6.0,13.0,47.0,2.0,81.9
17.0,14.0,34.0,2.0,99.46
14.0,17.0,53.0,1.0,292.3
0.0,14.0,49.0,0.0,76.37
23.0,16.0,41.0,1.0,100.45
0.0,15.0,,1.0,57.54
7.0,14.0,35.0,2.0,73.96
0.0,14.0,42.0,2.0,64.3
3.0,14.0,57.0,1.0,73.55
16.0,19.0,40.0,1.0,90.52
20.0,14.0,40.0,2.0,101.67
0.0,13.0,43.0,0.0,58.95
8.0,15.0,,0.0,77.72
22.0,16.0,45.0,,115.65
2.0,16.0,43.0,0.0,64.93
6.0,18.0,35.0,1.0,73.0
2.0,13.0,53.0,0.0,76.93
16.0,16.0,53.0,0.0,113.75
17.0,17.0,56.0,3.0,119.39
13.0,17.0,53.0,2.0,107.32
13.0,11.0,50.0,,95.47
,14.0,30.0,1.0,95.78
4.0,12.0,51.0,1.0,80.11
15.0,19.0,33.0,1.0,92.21
20.0,12.0,54.0,2.0,108.77
17.0,10.0,36.0,2.0,89.27
7.0,11.0,31.0,0.0,74.36
22.0,19.0,47.0,0.0,111.46
18.0,14.0,43.0,2.0,101.93
23.0,19.0,41.0,0.0,105.54
14.0,19.0,48.0,2.0,101.4
16.0,15.0,35.0,1.0,85.13
17.0,10.0,36.0,2.0,100.1
7.0,15.0,38.0,2.0,76.68
7.0,14.0,41.0,1.0,82.64
18.0,,44.0,3.0,105.38
3.0,11.0,34.0,2.0,71.8
16.0,12.0,30.0,2.0,
0.0,13.0,41.0,3.0,71.62
21.0,15.0,55.0,2.0,126.61
9.0,10.0,39.0,1.0,81.0
13.0,15.0,51.0,1.0,102.96
24.0,19.0,38.0,3.0,120.24
16.0,19.0,40.0,1.0,89.07
9.0,13.0,59.0,2.0,95.89
1.0,18.0,53.0,1.0,71.43
20.0,15.0,43.0,1.0,206.35
16.0,16.0,46.0,2.0,107.99
15.0,13.0,55.0,4.0,109.71
14.0,19.0,54.0,2.0,110.71
10.0,12.0,48.0,1.0,92.27
3.0,10.0,,1.0,79.36
2.0,10.0,52.0,3.0,87.07
19.0,10.0,51.0,0.0,101.28
5.0,14.0,57.0,2.0,94.85
13.0,11.0,43.0,1.0,
2.0,13.0,35.0,1.0,
0.0,16.0,50.0,2.0,88.78
8.0,11.0,48.0,2.0,98.7
6.0,18.0,41.0,2.0,85.27
11.0,11.0,39.0,5.0,84.37
22.0,13.0,49.0,3.0,114.35
0.0,11.0,40.0,1.0,59.36
21.0,14.0,43.0,1.0,103.56
,17.0,33.0,2.0,83.32
1.0,13.0,40.0,0.0,64.23
14.0,13.0,37.0,1.0,80.99
18.0,10.0,30.0,0.0,81.43
23.0,18.0,39.0,0.0,112.22
3.0,18.0,50.0,,220.39
10.0,19.0,46.0,6.0,108.64
2.0,19.0,33.0,4.0,77.12
,18.0,41.0,5.0,116.77
6.0,15.0,48.0,0.0,
10.0,16.0,43.0,0.0,79.4
14.0,16.0,30.0,2.0,
21.0,11.0,,1.0,106.66
14.0,11.0,41.0,0.0,88.91
14.0,12.0,32.0,2.0,81.84
7.0,14.0,44.0,2.0,85.87
,15.0,47.0,4.0,100.39
13.0,14.0,59.0,1.0,100.73
24.0,18.0,50.0,0.0,123.45
12.0,19.0,57.0,0.0,102.38
8.0,16.0,41.0,2.0,90.01
24.0,11.0,33.0,1.0,89.59
24.0,13.0,40.0,0.0,105.68
9.0,11.0,54.0,0.0,197.67
10.0,18.0,56.0,3.0,104.91
24.0,11.0,47.0,1.0,256.18
14.0,16.0,32.0,1.0,89.72
3.0,12.0,49.0,1.0,69.83
15.0,,56.0,1.0,111.84
10.0,14.0,56.0,0.0,98.81
1.0,11.0,35.0,2.0,61.45
,12.0,44.0,4.0,104.97
10.0,10.0,41.0,0.0,76.87
16.0,13.0,55.0,0.0,103.43
12.0,13.0,53.0,1.0,101.08
17.0,17.0,36.0,2.0,99.26
8.0,19.0,35.0,1.0,
11.0,10.0,49.0,0.0,95.68
16.0,,59.0,,115.67
8.0,15.0,42.0,0.0,81.53
23.0,,37.0,1.0,106.22
4.0,10.0,37.0,1.0,63.56
20.0,14.0,51.0,2.0,106.87
16.0,11.0,36.0,4.0,94.23
5.0,17.0,45.0,2.0,81.83
10.0,13.0,46.0,1.0,75.68
12.0,16.0,40.0,0.0,79.51
12.0,19.0,57.0,0.0,103.63
19.0,19.0,55.0,1.0,123.9
3.0,13.0,32.0,1.0,57.97
12.0,18.0,38.0,5.0,103.67
6.0,10.0,49.0,2.0,72.29
17.0,14.0,47.0,1.0,113.22
17.0,15.0,,4.0,106.89
12.0,14.0,41.0,1.0,81.59
21.0,19.0,34.0,5.0,115.99
2.0,17.0,54.0,1.0,86.52
16.0,12.0,42.0,0.0,86.34
5.0,10.0,48.0,1.0,
16.0,11.0,49.0,1.0,107.06
3.0,15.0,58.0,1.0,82.92
4.0,17.0,44.0,2.0,82.72
13.0,16.0,31.0,0.0,86.18
17.0,10.0,44.0,0.0,95.63
19.0,12.0,41.0,3.0,297.02
8.0,10.0,46.0,1.0,93.69
21.0,17.0,52.0,0.0,119.73
4.0,12.0,56.0,1.0,81.68
18.0,13.0,45.0,2.0,103.59
1.0,18.0,40.0,0.0,67.96
3.0,18.0,54.0,4.0,100.08
14.0,13.0,41.0,3.0,103.97
3.0,17.0,,4.0,85.68
17.0,18.0,46.0,1.0,98.02
6.0,13.0,48.0,2.0,90.33
22.0,12.0,51.0,2.0,114.03
23.0,10.0,47.0,2.0,105.64
22.0,15.0,33.0,0.0,267.45
,19.0,30.0,1.0,
1.0,10.0,,1.0,56.74
13.0,13.0,51.0,3.0,99.95
21.0,11.0,32.0,0.0,
19.0,14.0,48.0,0.0,103.34
6.0,16.0,43.0,2.0,81.04
4.0,13.0,36.0,0.0,64.73
16.0,11.0,44.0,2.0,95.26
4.0,,49.0,1.0,72.7
11.0,15.0,30.0,1.0,79.2
19.0,14.0,46.0,0.0,101.3
,11.0,51.0,4.0,95.72
2.0,12.0,46.0,0.0,68.17
15.0,13.0,55.0,3.0,114.5
8.0,18.0,54.0,3.0,95.38
3.0,17.0,43.0,2.0,80.03
2.0,15.0,33.0,0.0,61.29
1.0,17.0,36.0,0.0,65.4
9.0,,59.0,0.0,102.03
11.0,14.0,51.0,2.0,97.26
22.0,10.0,50.0,3.0,114.73
20.0,11.0,53.0,1.0,108.58
9.0,13.0,54.0,1.0,88.44
22.0,18.0,57.0,3.0,124.43
11.0,16.0,38.0,1.0,88.63
7.0,10.0,49.0,3.0,81.95
24.0,12.0,36.0,4.0,104.15
10.0,15.0,,2.0,92.4
15.0,14.0,40.0,3.0,93.48
15.0,14.0,56.0,0.0,106.93
22.0,17.0,39.0,2.0,111.34
4.0,14.0,45.0,1.0,69.86
22.0,11.0,43.0,4.0,123.87
4.0,12.0,31.0,0.0,59.47
5.0,17.0,,0.0,245.53
23.0,18.0,39.0,1.0,110.97
4.0,16.0,48.0,2.0,81.44
15.0,15.0,50.0,1.0,118.94
16.0,13.0,50.0,2.0,105.98
13.0,16.0,33.0,2.0,79.16
21.0,10.0,51.0,3.0,118.65
2.0,,40.0,1.0,73.71
21.0,10.0,47.0,2.0,102.18
,19.0,46.0,1.0,84.34
14.0,16.0,54.0,0.0,206.33
21.0,15.0,41.0,1.0,109.58
13.0,19.0,35.0,1.0,90.6
17.0,19.0,40.0,2.0,109.76
7.0,11.0,30.0,1.0,68.45
20.0,11.0,59.0,0.0,106.48
,14.0,45.0,0.0,101.72
20.0,19.0,49.0,1.0,116.9
14.0,15.0,30.0,2.0,
14.0,15.0,37.0,1.0,92.99
2.0,10.0,40.0,,61.88
15.0,18.0,56.0,2.0,116.3
8.0,15.0,51.0,3.0,90.99
7.0,18.0,55.0,5.0,105.27
22.0,13.0,39.0,1.0,110.88
6.0,11.0,32.0,1.0,51.02
13.0,19.0,35.0,3.0,91.67
13.0,16.0,46.0,1.0,105.52
24.0,19.0,41.0,,113.02
14.0,17.0,46.0,1.0,106.54
16.0,19.0,,2.0,103.58
6.0,17.0,,1.0,78.02
18.0,17.0,40.0,5.0,109.77
6.0,18.0,40.0,3.0,82.89
24.0,18.0,53.0,0.0,120.71
4.0,11.0,41.0,0.0,
15.0,11.0,43.0,0.0,89.67
14.0,10.0,59.0,,104.77
7.0,,45.0,1.0,83.33
24.0,16.0,51.0,2.0,135.31
10.0,17.0,50.0,0.0,90.84
3.0,10.0,53.0,0.0,80.12
19.0,16.0,50.0,2.0,115.65
11.0,11.0,35.0,2.0,84.49
4.0,11.0,47.0,2.0,70.39
16.0,10.0,36.0,0.0,89.81
2.0,19.0,54.0,1.0,91.49
10.0,10.0,47.0,1.0,88.69
8.0,13.0,42.0,2.0,81.29
13.0,14.0,46.0,1.0,89.24
,17.0,35.0,2.0,81.43
,17.0,37.0,0.0,61.29
11.0,17.0,48.0,3.0,106.13
5.0,11.0,37.0,1.0,73.22
6.0,19.0,31.0,5.0,82.27
8.0,,50.0,1.0,70.67
0.0,13.0,46.0,2.0,72.09
7.0,15.0,45.0,3.0,73.29
19.0,17.0,48.0,1.0,106.45
7.0,18.0,54.0,3.0,98.1
24.0,18.0,30.0,0.0,100.08
11.0,16.0,,0.0,90.07
5.0,10.0,39.0,2.0,77.96
21.0,18.0,30.0,2.0,102.83
16.0,15.0,43.0,0.0,91.54
22.0,13.0,30.0,5.0,106.21
20.0,11.0,33.0,4.0,92.85
1.0,11.0,58.0,0.0,78.63
10.0,,33.0,2.0,85.82
24.0,14.0,58.0,1.0,120.97
19.0,14.0,40.0,2.0,92.65
21.0,19.0,56.0,0.0,116.21
,18.0,59.0,1.0,115.74
14.0,13.0,47.0,1.0,100.56
23.0,12.0,52.0,1.0,117.62
3.0,10.0,57.0,1.0,83.42
9.0,19.0,42.0,3.0,103.22
22.0,10.0,38.0,1.0,92.86
6.0,15.0,31.0,2.0,74.01
21.0,10.0,,,108.43
9.0,12.0,,0.0,89.09
2.0,17.0,42.0,0.0,73.35
7.0,19.0,54.0,1.0,106.22
23.0,14.0,35.0,3.0,99.58
22.0,15.0,33.0,3.0,109.04
11.0,17.0,43.0,5.0,104.91
3.0,18.0,53.0,2.0,81.01
14.0,13.0,43.0,2.0,96.27
18.0,12.0,39.0,1.0,89.98
0.0,16.0,39.0,1.0,72.62
15.0,12.0,33.0,1.0,76.77
12.0,10.0,31.0,0.0,69.55
